2025-06-06 13:17:40,942 - INFO - [Epoch 85/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:44,113 - INFO - [Epoch 86/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:47,363 - INFO - [Epoch 87/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:50,536 - INFO - [Epoch 88/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:53,714 - INFO - [Epoch 89/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:17:56,904 - INFO - [Epoch 90/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:00,078 - INFO - [Epoch 91/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:03,273 - INFO - [Epoch 92/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:06,426 - INFO - [Epoch 93/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:09,643 - INFO - [Epoch 94/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:12,860 - INFO - [Epoch 95/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:16,070 - INFO - [Epoch 96/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:19,337 - INFO - [Epoch 97/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:22,489 - INFO - [Epoch 98/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:25,678 - INFO - [Epoch 99/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:28,849 - INFO - [Epoch 100/100] Dataset: DRIVE | Loss: 20.0000 | Acc: 0.9125 | F1: 0.0000 | IoU: 0.0000 | Recall: 0.0000 | Specificity: 1.0000 | 
2025-06-06 13:18:29,001 - INFO - Saved best model for DRIVE at epoch 2
2025-06-06 13:18:29,001 - INFO - Best metrics: Acc=0.9125, F1=0.0000, IoU=0.0000, Recall=0.0000, Spe=1.0000, AUC=0.5000, 
2025-06-06 13:38:12,771 - INFO - [Epoch 1/100] Dataset: DRIVE | Loss: 3.0655 | Acc: 0.3789 | F1: 0.2199 | IoU: 0.1235 | Recall: 0.9997 | Specificity: 0.3194 | 
2025-06-06 13:38:16,303 - INFO - [Epoch 2/100] Dataset: DRIVE | Loss: 3.4184 | Acc: 0.5906 | F1: 0.1844 | IoU: 0.1016 | Recall: 0.5287 | Specificity: 0.5965 | 
2025-06-06 13:38:19,664 - INFO - [Epoch 3/100] Dataset: DRIVE | Loss: 3.2999 | Acc: 0.5547 | F1: 0.2260 | IoU: 0.1274 | Recall: 0.7428 | Specificity: 0.5366 | 
2025-06-06 13:38:23,053 - INFO - [Epoch 4/100] Dataset: DRIVE | Loss: 3.2852 | Acc: 0.6230 | F1: 0.2389 | IoU: 0.1357 | Recall: 0.6758 | Specificity: 0.6180 | 
2025-06-06 13:38:26,568 - INFO - [Epoch 5/100] Dataset: DRIVE | Loss: 3.2245 | Acc: 0.6021 | F1: 0.2442 | IoU: 0.1391 | Recall: 0.7343 | Specificity: 0.5895 | 
2025-06-06 13:38:29,934 - INFO - [Epoch 6/100] Dataset: DRIVE | Loss: 3.1856 | Acc: 0.4271 | F1: 0.2286 | IoU: 0.1291 | Recall: 0.9696 | Specificity: 0.3751 | 
2025-06-06 13:38:33,483 - INFO - [Epoch 7/100] Dataset: DRIVE | Loss: 3.1639 | Acc: 0.4291 | F1: 0.2324 | IoU: 0.1315 | Recall: 0.9870 | Specificity: 0.3756 | 
