2025-06-06 13:14:29,275 - INFO - [Epoch 50/100] Dataset: CHASEDB_1 | Loss: 3.5820 | Acc: 0.9671 | F1: 0.7584 | IoU: 0.6108 | Recall: 0.8195 | Specificity: 0.9770 | 
2025-06-06 13:14:30,941 - INFO - [Epoch 51/100] Dataset: CHASEDB_1 | Loss: 3.4622 | Acc: 0.9611 | F1: 0.7400 | IoU: 0.5873 | Recall: 0.8777 | Specificity: 0.9667 | 
2025-06-06 13:14:32,777 - INFO - [Epoch 52/100] Dataset: CHASEDB_1 | Loss: 3.4569 | Acc: 0.9665 | F1: 0.7591 | IoU: 0.6117 | Recall: 0.8382 | Specificity: 0.9751 | 
2025-06-06 13:14:34,572 - INFO - [Epoch 53/100] Dataset: CHASEDB_1 | Loss: 3.3777 | Acc: 0.9647 | F1: 0.7530 | IoU: 0.6038 | Recall: 0.8524 | Specificity: 0.9723 | 
2025-06-06 13:14:36,320 - INFO - [Epoch 54/100] Dataset: CHASEDB_1 | Loss: 3.4602 | Acc: 0.9495 | F1: 0.6961 | IoU: 0.5339 | Recall: 0.9174 | Specificity: 0.9517 | 
2025-06-06 13:14:38,027 - INFO - [Epoch 55/100] Dataset: CHASEDB_1 | Loss: 3.7492 | Acc: 0.9643 | F1: 0.7508 | IoU: 0.6011 | Recall: 0.8527 | Specificity: 0.9718 | 
2025-06-06 13:14:39,780 - INFO - [Epoch 56/100] Dataset: CHASEDB_1 | Loss: 3.4234 | Acc: 0.9680 | F1: 0.7647 | IoU: 0.6191 | Recall: 0.8261 | Specificity: 0.9775 | 
2025-06-06 13:14:41,484 - INFO - [Epoch 57/100] Dataset: CHASEDB_1 | Loss: 3.3105 | Acc: 0.9708 | F1: 0.7743 | IoU: 0.6317 | Recall: 0.7947 | Specificity: 0.9826 | 
2025-06-06 13:14:43,250 - INFO - [Epoch 58/100] Dataset: CHASEDB_1 | Loss: 3.2948 | Acc: 0.9625 | F1: 0.7471 | IoU: 0.5963 | Recall: 0.8782 | Specificity: 0.9682 | 
2025-06-06 13:14:44,996 - INFO - [Epoch 59/100] Dataset: CHASEDB_1 | Loss: 3.2552 | Acc: 0.9617 | F1: 0.7449 | IoU: 0.5936 | Recall: 0.8875 | Specificity: 0.9667 | 
2025-06-06 13:14:46,684 - INFO - [Epoch 60/100] Dataset: CHASEDB_1 | Loss: 3.3262 | Acc: 0.9674 | F1: 0.7630 | IoU: 0.6168 | Recall: 0.8330 | Specificity: 0.9764 | 
2025-06-06 13:14:48,378 - INFO - [Epoch 61/100] Dataset: CHASEDB_1 | Loss: 3.2253 | Acc: 0.9681 | F1: 0.7697 | IoU: 0.6256 | Recall: 0.8460 | Specificity: 0.9763 | 
2025-06-06 13:14:50,106 - INFO - [Epoch 62/100] Dataset: CHASEDB_1 | Loss: 3.1660 | Acc: 0.9622 | F1: 0.7462 | IoU: 0.5951 | Recall: 0.8820 | Specificity: 0.9676 | 
2025-06-06 13:14:51,909 - INFO - [Epoch 63/100] Dataset: CHASEDB_1 | Loss: 3.3111 | Acc: 0.9712 | F1: 0.7797 | IoU: 0.6390 | Recall: 0.8086 | Specificity: 0.9821 | 
2025-06-06 13:14:53,584 - INFO - [Epoch 64/100] Dataset: CHASEDB_1 | Loss: 3.4349 | Acc: 0.9652 | F1: 0.7573 | IoU: 0.6095 | Recall: 0.8604 | Specificity: 0.9723 | 
2025-06-06 13:14:55,331 - INFO - [Epoch 65/100] Dataset: CHASEDB_1 | Loss: 3.2986 | Acc: 0.9632 | F1: 0.7488 | IoU: 0.5985 | Recall: 0.8695 | Specificity: 0.9695 | 
2025-06-06 13:14:57,036 - INFO - [Epoch 66/100] Dataset: CHASEDB_1 | Loss: 3.2492 | Acc: 0.9614 | F1: 0.7443 | IoU: 0.5927 | Recall: 0.8913 | Specificity: 0.9661 | 
2025-06-06 13:14:58,793 - INFO - [Epoch 67/100] Dataset: CHASEDB_1 | Loss: 3.0981 | Acc: 0.9679 | F1: 0.7713 | IoU: 0.6278 | Recall: 0.8594 | Specificity: 0.9752 | 
